,Unnamed: 0,ID,Nazwa,Adres,Zatrudnieni_funkcjonariusze
3223,3223,3223,Komisariat 3224,"plac Jałowcowa 435
08-781 Rumia",22
3224,3224,3224,Komisariat 3225,"al. Pogodna 85/59
55-151 Koszalin",26
3225,3225,3225,Komisariat 3226,"ul. Mostowa 68/88
65-484 Lubartów",22
3226,3226,3226,Komisariat 3227,"ul. Spokojna 09
58-597 Cieszyn",22
3227,3227,3227,Komisariat 3228,"plac Rózana 28
92-735 Iława",22
3228,3228,3228,Komisariat 3229,"plac Młyńska 01/23
31-135 Dębica",17
3229,3229,3229,Komisariat 3230,"ulica Armii Krajowej 476
87-604 Bydgoszcz",20
3230,3230,3230,Komisariat 3231,"al. Widokowa 01
48-015 Płock",21
3231,3231,3231,Komisariat 3232,"ul. Przechodnia 12
99-259 Wrocław",17
3232,3232,3232,Komisariat 3233,"plac Brzechwy 881
93-395 Kraków",22
3233,3233,3233,Komisariat 3234,"plac Wiślana 990
71-532 Nowy Targ",21
3234,3234,3234,Komisariat 3235,"al. Kwiatowa 746
97-617 Zielona Góra",20
3235,3235,3235,Komisariat 3236,"plac Ciasna 999
20-283 Mysłowice",20
3236,3236,3236,Komisariat 3237,"pl. Reja 76
13-864 Piotrków Trybunalski",23
3237,3237,3237,Komisariat 3238,"al. Borówkowa 373
33-922 Gorlice",23
3238,3238,3238,Komisariat 3239,"ul. Harcerska 81
09-962 Jarocin",21
3239,3239,3239,Komisariat 3240,"pl. Skargi 987
68-346 Grodzisk Mazowiecki",19
3240,3240,3240,Komisariat 3241,"aleja Reymonta 800
32-343 Czerwionka-Leszczyny",23
3241,3241,3241,Komisariat 3242,"ulica Księżycowa 684
31-220 Żory",18
3242,3242,3242,Komisariat 3243,"plac Staszica 10/18
59-890 Giżycko",15
3243,3243,3243,Komisariat 3244,"ul. Leszczynowa 312
82-397 Słupsk",19
3244,3244,3244,Komisariat 3245,"ulica Nowowiejska 79/86
46-430 Rzeszów",14
3245,3245,3245,Komisariat 3246,"pl. Krakowska 123
25-616 Mielec",20
3246,3246,3246,Komisariat 3247,"ul. Dworcowa 20/32
17-014 Wieluń",20
3247,3247,3247,Komisariat 3248,"plac Leszczynowa 56
73-736 Suwałki",18
3248,3248,3248,Komisariat 3249,"aleja Parkowa 71/01
11-127 Zawiercie",21
3249,3249,3249,Komisariat 3250,"pl. Łąkowa 980
25-978 Mikołów",24
3250,3250,3250,Komisariat 3251,"al. Makuszyńskiego 330
05-100 Siedlce",23
3251,3251,3251,Komisariat 3252,"ul. Jesienna 65/34
91-626 Świdnik",27
3252,3252,3252,Komisariat 3253,"pl. Morelowa 990
38-352 Pszczyna",28
3253,3253,3253,Komisariat 3254,"ul. Spacerowa 866
74-909 Konin",25
3254,3254,3254,Komisariat 3255,"aleja Lwowska 378
93-541 Chrzanów",26
3255,3255,3255,Komisariat 3256,"aleja Jaworowa 13
17-926 Myszków",18
3256,3256,3256,Komisariat 3257,"pl. Ceglana 680
39-852 Radomsko",20
3257,3257,3257,Komisariat 3258,"ul. Młynarska 81/56
59-183 Koszalin",19
3258,3258,3258,Komisariat 3259,"plac Parkowa 880
65-362 Iława",19
3259,3259,3259,Komisariat 3260,"plac Wiązowa 37/04
52-765 Jelenia Góra",21
3260,3260,3260,Komisariat 3261,"ulica Ptasia 15
34-495 Będzin",19
3261,3261,3261,Komisariat 3262,"aleja Cisowa 731
51-234 Reda",19
3262,3262,3262,Komisariat 3263,"pl. Słowicza 745
43-930 Będzin",17
3263,3263,3263,Komisariat 3264,"aleja Reymonta 365
88-832 Augustów",16
3264,3264,3264,Komisariat 3265,"ulica Widok 341
08-113 Racibórz",20
3265,3265,3265,Komisariat 3266,"plac Chopina 18/77
22-763 Sandomierz",18
3266,3266,3266,Komisariat 3267,"plac Świerczewskiego 879
77-543 Wejherowo",18
3267,3267,3267,Komisariat 3268,"plac Makuszyńskiego 984
55-094 Brzeg",17
3268,3268,3268,Komisariat 3269,"pl. Podgórna 619
06-589 Nowa Ruda",20
3269,3269,3269,Komisariat 3270,"ul. Wiejska 461
59-729 Sieradz",17
3270,3270,3270,Komisariat 3271,"ulica Borówkowa 49/62
15-679 Goleniów",15
3271,3271,3271,Komisariat 3272,"pl. Rumiankowa 12/74
30-086 Świecie",18
3272,3272,3272,Komisariat 3273,"ulica Krańcowa 75/98
27-950 Nowa Sól",20
3273,3273,3273,Komisariat 3274,"ul. Słowackiego 53/50
77-826 Łaziska Górne",14
3274,3274,3274,Komisariat 3275,"plac Miodowa 351
41-287 Żywiec",12
3275,3275,3275,Komisariat 3276,"pl. Topolowa 14/61
53-196 Bielsko-Biała",11
3276,3276,3276,Komisariat 3277,"ul. Źródlana 700
20-456 Skawina",13
3277,3277,3277,Komisariat 3278,"pl. Ptasia 11/84
56-914 Ruda Śląska",17
3278,3278,3278,Komisariat 3279,"ul. Modrzewiowa 67
06-241 Olsztyn",18
3279,3279,3279,Komisariat 3280,"pl. Wiejska 20/20
08-396 Knurów",15
3280,3280,3280,Komisariat 3281,"ul. Starowiejska 39/10
23-955 Łuków",25
3281,3281,3281,Komisariat 3282,"ul. Leśna 02/46
15-036 Zgorzelec",29
3282,3282,3282,Komisariat 3283,"ul. Korczaka 82
43-663 Czeladź",15
3283,3283,3283,Komisariat 3284,"ul. Kopernika 15
69-223 Ostrów Wielkopolski",16
3284,3284,3284,Komisariat 3285,"ulica Jana Pawła II 461
45-696 Chojnice",21
3285,3285,3285,Komisariat 3286,"al. Spółdzielcza 95
26-566 Wodzisław Śląski",13
3286,3286,3286,Komisariat 3287,"al. Maja 29
09-660 Radom",13
3287,3287,3287,Komisariat 3288,"aleja Brzozowa 021
22-461 Legnica",27
3288,3288,3288,Komisariat 3289,"ul. Jadwigi 26
98-847 Bełchatów",24
3289,3289,3289,Komisariat 3290,"ulica Kielecka 69
26-392 Leszno",17
3290,3290,3290,Komisariat 3291,"ul. Dolna 465
02-493 Wieluń",16
3291,3291,3291,Komisariat 3292,"pl. Wiosenna 24/41
80-120 Stalowa Wola",22
3292,3292,3292,Komisariat 3293,"ul. Kolejowa 452
97-651 Wałcz",20
3293,3293,3293,Komisariat 3294,"pl. Narcyzowa 18
92-215 Jarocin",11
3294,3294,3294,Komisariat 3295,"plac Rejtana 644
94-979 Łowicz",19
3295,3295,3295,Komisariat 3296,"aleja Jasna 56
14-355 Żagań",20
3296,3296,3296,Komisariat 3297,"al. Listopada 09
60-283 Wałbrzych",20
3297,3297,3297,Komisariat 3298,"al. Browarna 81/24
50-530 Jaworzno",22
3298,3298,3298,Komisariat 3299,"ul. Skargi 301
15-974 Lębork",18
3299,3299,3299,Komisariat 3300,"ul. Piaskowa 59/79
49-442 Marki",26
3300,3300,3300,Komisariat 3301,"ulica Miarki 551
14-661 Bolesławiec",17
3301,3301,3301,Komisariat 3302,"aleja Chełmońskiego 096
70-274 Łomża",24
3302,3302,3302,Komisariat 3303,"plac Niepodległości 19
33-833 Augustów",22
3303,3303,3303,Komisariat 3304,"al. Szpitalna 552
24-520 Tomaszów Mazowiecki",15
3304,3304,3304,Komisariat 3305,"al. Kreta 152
26-245 Koło",12
3305,3305,3305,Komisariat 3306,"ulica Wyszyńskiego 22
06-886 Radomsko",13
3306,3306,3306,Komisariat 3307,"ulica Kowalska 36
66-102 Jaworzno",18
3307,3307,3307,Komisariat 3308,"plac Parkowa 761
30-077 Tczew",20
3308,3308,3308,Komisariat 3309,"ulica Dworcowa 420
64-608 Gdańsk",22
3309,3309,3309,Komisariat 3310,"al. Gajowa 90/91
08-598 Ostrołęka",22
3310,3310,3310,Komisariat 3311,"aleja Lipca 41
15-971 Gdynia",17
3311,3311,3311,Komisariat 3312,"ul. Jeziorna 42/88
98-389 Kielce",24
3312,3312,3312,Komisariat 3313,"pl. Słowicza 908
25-483 Łuków",14
3313,3313,3313,Komisariat 3314,"al. Malczewskiego 737
34-793 Ciechanów",15
3314,3314,3314,Komisariat 3315,"al. Złota 08/58
80-253 Września",25
3315,3315,3315,Komisariat 3316,"aleja Brzoskwiniowa 44
33-585 Zduńska Wola",28
3316,3316,3316,Komisariat 3317,"al. Piwna 00/62
72-939 Zielona Góra",14
3317,3317,3317,Komisariat 3318,"ul. Klonowa 28/58
71-322 Nowy Targ",19
3318,3318,3318,Komisariat 3319,"aleja Stefana Batorego 86/18
69-693 Pruszcz Gdański",6
3319,3319,3319,Komisariat 3320,"plac Kosynierów 20
12-513 Włocławek",29
3320,3320,3320,Komisariat 3321,"al. Podgórna 23/99
15-640 Lubartów",20
3321,3321,3321,Komisariat 3322,"al. Glówna 67/33
03-753 Nowa Ruda",15
3322,3322,3322,Komisariat 3323,"pl. Świerczewskiego 19
33-499 Sosnowiec",16
3323,3323,3323,Komisariat 3324,"pl. Wiśniowa 44/81
25-295 Kędzierzyn-Koźle",22
3324,3324,3324,Komisariat 3325,"plac Szafirowa 746
99-832 Gdańsk",24
3325,3325,3325,Komisariat 3326,"ul. Dobra 34
26-642 Katowice",19
3326,3326,3326,Komisariat 3327,"aleja Wilcza 19
49-477 Tomaszów Mazowiecki",26
3327,3327,3327,Komisariat 3328,"pl. Hutnicza 960
88-908 Płock",18
3328,3328,3328,Komisariat 3329,"plac Podwale 82/35
36-828 Szczytno",15
3329,3329,3329,Komisariat 3330,"plac Gajowa 72
63-573 Bielsko-Biała",21
3330,3330,3330,Komisariat 3331,"ul. Hutnicza 67/33
09-383 Ostróda",21
3331,3331,3331,Komisariat 3332,"al. Myśliwska 66
71-536 Krotoszyn",14
3332,3332,3332,Komisariat 3333,"plac Stolarska 99/40
86-197 Poznań",25
3333,3333,3333,Komisariat 3334,"plac Dębowa 44/83
85-082 Goleniów",13
3334,3334,3334,Komisariat 3335,"al. Księżycowa 57
44-910 Knurów",22
3335,3335,3335,Komisariat 3336,"al. Jesienna 23
44-782 Wałbrzych",27
3336,3336,3336,Komisariat 3337,"ulica Pomorska 681
54-530 Bochnia",22
3337,3337,3337,Komisariat 3338,"ul. Tylna 02/93
57-480 Jelenia Góra",21
3338,3338,3338,Komisariat 3339,"al. Makowa 06
63-930 Szczytno",17
3339,3339,3339,Komisariat 3340,"pl. Wyszyńskiego 673
07-407 Kraków",24
3340,3340,3340,Komisariat 3341,"ulica Słowackiego 709
71-203 Oleśnica",16
3341,3341,3341,Komisariat 3342,"aleja Konarskiego 72/43
35-924 Łaziska Górne",22
3342,3342,3342,Komisariat 3343,"plac Wrocławska 467
66-261 Sanok",19
3343,3343,3343,Komisariat 3344,"ulica Miłosza 663
91-803 Włocławek",17
3344,3344,3344,Komisariat 3345,"pl. Tartaczna 09
16-491 Szczecinek",30
3345,3345,3345,Komisariat 3346,"pl. Boczna 96/88
51-082 Pruszków",19
3346,3346,3346,Komisariat 3347,"aleja Truskawkowa 55
22-478 Zielona Góra",24
3347,3347,3347,Komisariat 3348,"aleja Jaśminowa 07
31-468 Kwidzyn",27
3348,3348,3348,Komisariat 3349,"al. Azaliowa 383
14-284 Żagań",18
3349,3349,3349,Komisariat 3350,"plac Strzelecka 62/37
52-411 Kościan",24
3350,3350,3350,Komisariat 3351,"ulica Chopina 39/95
29-994 Lubin",14
3351,3351,3351,Komisariat 3352,"ul. Ptasia 13/89
81-097 Puławy",21
3352,3352,3352,Komisariat 3353,"plac Topolowa 06
88-045 Zduńska Wola",13
3353,3353,3353,Komisariat 3354,"pl. Szafirowa 57/20
56-077 Słupsk",16
3354,3354,3354,Komisariat 3355,"aleja Kaszubska 82/64
42-037 Kielce",23
3355,3355,3355,Komisariat 3356,"plac Wesoła 37/66
80-924 Katowice",16
3356,3356,3356,Komisariat 3357,"ulica Górna 85
15-269 Żagań",25
3357,3357,3357,Komisariat 3358,"ul. Wilcza 04
19-328 Rybnik",20
3358,3358,3358,Komisariat 3359,"pl. Mickiewicza 85
25-236 Tczew",18
3359,3359,3359,Komisariat 3360,"al. Jaworowa 08/03
04-697 Olkusz",24
3360,3360,3360,Komisariat 3361,"ul. Kościuszki 52/51
43-594 Piastów",19
3361,3361,3361,Komisariat 3362,"pl. Mazowiecka 16
65-511 Jawor",17
3362,3362,3362,Komisariat 3363,"al. Paderewskiego 29/89
11-625 Zgorzelec",21
3363,3363,3363,Komisariat 3364,"plac Wschodnia 79
46-808 Chrzanów",23
3364,3364,3364,Komisariat 3365,"plac Dolna 73
33-543 Chrzanów",17
3365,3365,3365,Komisariat 3366,"ul. Rolna 889
72-281 Katowice",25
3366,3366,3366,Komisariat 3367,"aleja Zwycięstwa 76
58-181 Piastów",21
3367,3367,3367,Komisariat 3368,"ulica Piłsudskiego 014
85-472 Gdańsk",24
3368,3368,3368,Komisariat 3369,"aleja Wałowa 728
99-398 Środa Wielkopolska",18
3369,3369,3369,Komisariat 3370,"al. Wodna 88/80
86-759 Zawiercie",28
3370,3370,3370,Komisariat 3371,"pl. Solidarnosci 712
19-799 Bydgoszcz",29
3371,3371,3371,Komisariat 3372,"ulica Wiśniowa 56/90
70-858 Oleśnica",28
3372,3372,3372,Komisariat 3373,"al. Rzemieślnicza 86/86
20-403 Słupsk",18
3373,3373,3373,Komisariat 3374,"plac Orzeszkowej 884
44-978 Środa Wielkopolska",19
3374,3374,3374,Komisariat 3375,"ulica Pocztowa 64/68
31-975 Zielona Góra",19
3375,3375,3375,Komisariat 3376,"al. Wesoła 64
54-023 Marki",17
3376,3376,3376,Komisariat 3377,"aleja Wybickiego 940
40-865 Łuków",23
3377,3377,3377,Komisariat 3378,"al. Złota 40/59
76-355 Bolesławiec",14
3378,3378,3378,Komisariat 3379,"ul. Wiślana 20/05
99-506 Swarzędz",25
3379,3379,3379,Komisariat 3380,"ul. Letniskowa 116
84-631 Wałcz",19
3380,3380,3380,Komisariat 3381,"ul. Krótka 71/99
96-709 Zamość",19
3381,3381,3381,Komisariat 3382,"ul. Kolonia 04
51-349 Chełm",13
3382,3382,3382,Komisariat 3383,"plac Królewska 90
87-936 Olsztyn",20
3383,3383,3383,Komisariat 3384,"ul. Myśliwska 41
64-677 Opole",18
3384,3384,3384,Komisariat 3385,"pl. Radosna 395
98-636 Bydgoszcz",19
3385,3385,3385,Komisariat 3386,"plac Gajowa 05
46-286 Katowice",20
3386,3386,3386,Komisariat 3387,"pl. Lubelska 24
07-518 Biała Podlaska",29
3387,3387,3387,Komisariat 3388,"ul. Złota 30
56-947 Jarocin",24
3388,3388,3388,Komisariat 3389,"pl. Tysiąclecia 26
61-780 Biłgoraj",13
3389,3389,3389,Komisariat 3390,"ul. Robotnicza 778
54-789 Środa Wielkopolska",19
3390,3390,3390,Komisariat 3391,"aleja Jesienna 289
12-267 Czerwionka-Leszczyny",18
3391,3391,3391,Komisariat 3392,"pl. Rumiankowa 658
32-101 Białogard",25
3392,3392,3392,Komisariat 3393,"plac Lubelska 98/94
39-666 Chojnice",27
3393,3393,3393,Komisariat 3394,"plac Cyprysowa 21/30
27-165 Kutno",17
3394,3394,3394,Komisariat 3395,"ulica Jeziorna 90/39
37-241 Racibórz",20
3395,3395,3395,Komisariat 3396,"pl. Makuszyńskiego 14
85-074 Marki",19
3396,3396,3396,Komisariat 3397,"ulica Kolejowa 01
07-339 Ząbki",20
3397,3397,3397,Komisariat 3398,"pl. Żwirowa 86
18-519 Jaworzno",21
3398,3398,3398,Komisariat 3399,"plac Okrzei 225
91-823 Luboń",18
3399,3399,3399,Komisariat 3400,"ulica Waryńskiego 07
34-473 Marki",16
3400,3400,3400,Komisariat 3401,"al. Sucharskiego 11/39
01-014 Pruszków",27
3401,3401,3401,Komisariat 3402,"plac Szeroka 69/21
23-362 Gorlice",13
3402,3402,3402,Komisariat 3403,"pl. Toruńska 93/89
31-055 Białogard",15
3403,3403,3403,Komisariat 3404,"aleja Zaciszna 39/64
33-602 Ostrów Wielkopolski",22
3404,3404,3404,Komisariat 3405,"plac Borówkowa 94
03-814 Reda",16
3405,3405,3405,Komisariat 3406,"ul. Lubelska 01
90-807 Knurów",16
3406,3406,3406,Komisariat 3407,"ulica Bydgoska 56
92-430 Kętrzyn",23
3407,3407,3407,Komisariat 3408,"pl. Jeżynowa 960
91-507 Płońsk",18
3408,3408,3408,Komisariat 3409,"pl. Kruczkowskiego 62
33-629 Gorlice",21
3409,3409,3409,Komisariat 3410,"ulica Urocza 67/92
52-907 Zabrze",20
3410,3410,3410,Komisariat 3411,"plac Stefana Batorego 12/96
16-104 Skawina",21
3411,3411,3411,Komisariat 3412,"aleja Warszawska 73
96-252 Ełk",21
3412,3412,3412,Komisariat 3413,"ul. Miodowa 153
05-414 Sandomierz",13
3413,3413,3413,Komisariat 3414,"aleja Kraszewskiego 75/09
35-660 Biłgoraj",13
3414,3414,3414,Komisariat 3415,"al. Szmaragdowa 15
74-717 Środa Wielkopolska",14
3415,3415,3415,Komisariat 3416,"al. Zacisze 180
47-393 Skarżysko-Kamienna",17
3416,3416,3416,Komisariat 3417,"ul. Żurawia 75/26
26-181 Jastrzębie-Zdrój",19
3417,3417,3417,Komisariat 3418,"al. Okulickiego 62/56
26-943 Szczecin",17
3418,3418,3418,Komisariat 3419,"ulica Cedrowa 50/14
92-636 Tczew",21
3419,3419,3419,Komisariat 3420,"ulica Batalionów Chłopskich 77
92-782 Szczecin",15
3420,3420,3420,Komisariat 3421,"pl. Kusocińskiego 28/60
55-991 Pruszków",18
3421,3421,3421,Komisariat 3422,"ul. Księżycowa 290
60-739 Kościerzyna",21
3422,3422,3422,Komisariat 3423,"al. Tysiąclecia 37/32
14-363 Tomaszów Mazowiecki",22
3423,3423,3423,Komisariat 3424,"pl. Tartaczna 65/03
68-864 Luboń",18
3424,3424,3424,Komisariat 3425,"al. Wyspiańskiego 810
65-785 Brzeg",15
3425,3425,3425,Komisariat 3426,"al. Bałtycka 25/22
12-528 Żagań",19
3426,3426,3426,Komisariat 3427,"aleja Przemysłowa 29/09
38-785 Radom",16
3427,3427,3427,Komisariat 3428,"plac Broniewskiego 083
12-138 Grodzisk Mazowiecki",17
3428,3428,3428,Komisariat 3429,"ul. Sportowa 47/77
94-208 Leszno",18
3429,3429,3429,Komisariat 3430,"plac Młyńska 394
61-945 Lubartów",15
3430,3430,3430,Komisariat 3431,"ulica Turystyczna 16
92-516 Włocławek",30
3431,3431,3431,Komisariat 3432,"pl. Wodna 502
34-044 Reda",16
3432,3432,3432,Komisariat 3433,"ulica Waryńskiego 66/60
10-514 Krotoszyn",14
3433,3433,3433,Komisariat 3434,"ulica Majowa 42
61-574 Wołomin",11
3434,3434,3434,Komisariat 3435,"ulica Kilińskiego 51/78
94-953 Ząbki",20
3435,3435,3435,Komisariat 3436,"ulica Śląska 468
60-326 Koło",17
3436,3436,3436,Komisariat 3437,"al. Waryńskiego 02/05
52-564 Stalowa Wola",27
3437,3437,3437,Komisariat 3438,"al. Prusa 293
89-773 Kraśnik",19
3438,3438,3438,Komisariat 3439,"al. Wspólna 787
88-533 Opole",12
3439,3439,3439,Komisariat 3440,"pl. Glówna 74
93-426 Białystok",26
3440,3440,3440,Komisariat 3441,"aleja Bałtycka 409
18-476 Dzierżoniów",27
3441,3441,3441,Komisariat 3442,"al. Krasińskiego 587
95-820 Poznań",26
3442,3442,3442,Komisariat 3443,"ul. Zacisze 314
70-200 Lębork",15
3443,3443,3443,Komisariat 3444,"pl. Leśna 14
97-346 Płońsk",9
3444,3444,3444,Komisariat 3445,"al. Żwirki i Wigury 82
65-081 Płock",15
3445,3445,3445,Komisariat 3446,"aleja Rolna 56
65-404 Kraków",25
3446,3446,3446,Komisariat 3447,"aleja Miła 86/78
61-062 Sandomierz",14
3447,3447,3447,Komisariat 3448,"ul. Plażowa 57
99-928 Piła",22
3448,3448,3448,Komisariat 3449,"al. Jaworowa 13
24-829 Piła",31
3449,3449,3449,Komisariat 3450,"pl. Liliowa 61
67-986 Toruń",12
3450,3450,3450,Komisariat 3451,"ul. Cmentarna 343
78-109 Żary",28
3451,3451,3451,Komisariat 3452,"al. Pułaskiego 32/70
64-399 Turek",25
3452,3452,3452,Komisariat 3453,"ulica Składowa 88/98
92-636 Nowy Sącz",14
3453,3453,3453,Komisariat 3454,"ulica Dolna 94
30-977 Głogów",24
3454,3454,3454,Komisariat 3455,"plac Majowa 54/76
51-221 Śrem",20
3455,3455,3455,Komisariat 3456,"al. Harcerska 46/78
39-422 Konin",24
3456,3456,3456,Komisariat 3457,"plac Wyzwolenia 02
69-448 Skawina",25
3457,3457,3457,Komisariat 3458,"pl. Poznańska 559
28-827 Brzeg",30
3458,3458,3458,Komisariat 3459,"ul. Konstytucji 3 Maja 60/25
05-271 Chrzanów",19
3459,3459,3459,Komisariat 3460,"ul. Rzemieślnicza 69
77-743 Kluczbork",15
3460,3460,3460,Komisariat 3461,"ulica Letnia 207
06-036 Świecie",21
3461,3461,3461,Komisariat 3462,"ulica Turkusowa 67/73
79-758 Brodnica",19
3462,3462,3462,Komisariat 3463,"plac Poniatowskiego 89
21-397 Radomsko",19
3463,3463,3463,Komisariat 3464,"al. Storczykowa 25/84
35-479 Brodnica",20
3464,3464,3464,Komisariat 3465,"plac Szczęśliwa 87
11-078 Kościan",14
3465,3465,3465,Komisariat 3466,"plac Chabrowa 91/64
90-394 Cieszyn",26
3466,3466,3466,Komisariat 3467,"pl. Lelewela 32/57
99-034 Lublin",24
3467,3467,3467,Komisariat 3468,"al. Glówna 539
66-342 Lębork",19
3468,3468,3468,Komisariat 3469,"pl. Prosta 81/37
08-607 Otwock",17
3469,3469,3469,Komisariat 3470,"pl. Browarna 570
64-160 Oświęcim",17
3470,3470,3470,Komisariat 3471,"plac Tylna 058
99-268 Szczecin",21
3471,3471,3471,Komisariat 3472,"al. Nałkowskiej 206
18-116 Nowa Ruda",24
3472,3472,3472,Komisariat 3473,"ul. Lisia 18/51
25-435 Nowy Targ",19
3473,3473,3473,Komisariat 3474,"ulica Krótka 172
61-072 Łódź",22
3474,3474,3474,Komisariat 3475,"ulica Stawowa 20/16
48-038 Iława",26
3475,3475,3475,Komisariat 3476,"pl. Zakole 94
11-956 Lubartów",22
3476,3476,3476,Komisariat 3477,"al. Stefana Batorego 39
11-212 Rumia",8
3477,3477,3477,Komisariat 3478,"plac Górska 68
43-028 Sandomierz",15
3478,3478,3478,Komisariat 3479,"pl. Jagodowa 09/71
19-270 Wodzisław Śląski",15
3479,3479,3479,Komisariat 3480,"al. Jałowcowa 34/59
25-191 Jaworzno",21
3480,3480,3480,Komisariat 3481,"ulica Widok 17/97
19-935 Wągrowiec",28
3481,3481,3481,Komisariat 3482,"aleja Przemysłowa 799
67-931 Żory",26
3482,3482,3482,Komisariat 3483,"plac Żwirki i Wigury 281
86-093 Elbląg",20
3483,3483,3483,Komisariat 3484,"plac Leśna 497
63-135 Mińsk Mazowiecki",27
3484,3484,3484,Komisariat 3485,"al. Staffa 57
97-398 Grodzisk Mazowiecki",25
3485,3485,3485,Komisariat 3486,"aleja Morelowa 460
97-929 Płock",19
3486,3486,3486,Komisariat 3487,"aleja Dojazdowa 806
47-004 Bielawa",17
3487,3487,3487,Komisariat 3488,"al. Orzechowa 50
58-972 Tarnów",16
3488,3488,3488,Komisariat 3489,"aleja Owocowa 89
36-969 Bielsk Podlaski",20
3489,3489,3489,Komisariat 3490,"ul. Żeromskiego 546
15-670 Knurów",18
3490,3490,3490,Komisariat 3491,"ul. Piekarska 635
53-469 Kielce",23
3491,3491,3491,Komisariat 3492,"aleja Konwaliowa 557
41-960 Słupsk",14
3492,3492,3492,Komisariat 3493,"al. Rolnicza 651
57-116 Ciechanów",24
3493,3493,3493,Komisariat 3494,"plac Zaciszna 42/13
76-197 Kielce",16
3494,3494,3494,Komisariat 3495,"aleja Orzechowa 45/06
31-771 Zduńska Wola",21
3495,3495,3495,Komisariat 3496,"ul. Wróblewskiego 286
82-638 Koszalin",20
3496,3496,3496,Komisariat 3497,"ul. Grabowa 501
03-271 Mysłowice",28
3497,3497,3497,Komisariat 3498,"pl. Krasińskiego 64
36-711 Szczytno",13
3498,3498,3498,Komisariat 3499,"plac Piwna 63
84-775 Elbląg",17
3499,3499,3499,Komisariat 3500,"ul. Targowa 62/07
58-739 Łaziska Górne",28
3500,3500,3500,Komisariat 3501,"plac Średnia 21/22
03-618 Tczew",23
3501,3501,3501,Komisariat 3502,"al. Poznańska 997
73-854 Września",16
3502,3502,3502,Komisariat 3503,"ul. Krasińskiego 314
26-416 Radom",23
3503,3503,3503,Komisariat 3504,"plac Wiklinowa 24/25
22-156 Kołobrzeg",16
3504,3504,3504,Komisariat 3505,"aleja Pogodna 91
30-440 Lubin",25
3505,3505,3505,Komisariat 3506,"pl. Glówna 840
59-668 Czerwionka-Leszczyny",24
3506,3506,3506,Komisariat 3507,"ul. Letniskowa 33
93-009 Oświęcim",23
3507,3507,3507,Komisariat 3508,"ulica Żwirowa 02/23
14-087 Żyrardów",19
3508,3508,3508,Komisariat 3509,"ulica Wiatraczna 612
15-393 Zamość",15
3509,3509,3509,Komisariat 3510,"plac Lazurowa 72/11
31-162 Myszków",23
3510,3510,3510,Komisariat 3511,"pl. Wąska 33
46-088 Kalisz",22
3511,3511,3511,Komisariat 3512,"plac Widokowa 72/40
35-340 Mińsk Mazowiecki",28
3512,3512,3512,Komisariat 3513,"al. Kolorowa 801
55-684 Ciechanów",16
3513,3513,3513,Komisariat 3514,"plac Kochanowskiego 80
98-764 Żagań",19
3514,3514,3514,Komisariat 3515,"ul. Górska 76/10
29-217 Gorlice",21
3515,3515,3515,Komisariat 3516,"aleja Konopnickiej 42/72
62-470 Łomża",21
3516,3516,3516,Komisariat 3517,"pl. Jarzębinowa 88
96-458 Biłgoraj",27
3517,3517,3517,Komisariat 3518,"plac Rataja 700
36-141 Sanok",28
3518,3518,3518,Komisariat 3519,"plac Spółdzielcza 79/41
92-641 Piastów",19
3519,3519,3519,Komisariat 3520,"ulica Jodłowa 42/73
24-109 Malbork",25
3520,3520,3520,Komisariat 3521,"aleja Kochanowskiego 34
03-734 Poznań",23
3521,3521,3521,Komisariat 3522,"ul. Władysława Łokietka 46/75
12-325 Łowicz",22
3522,3522,3522,Komisariat 3523,"plac Sadowa 57/97
69-147 Police",24
3523,3523,3523,Komisariat 3524,"al. Morska 72
49-446 Bytom",25
3524,3524,3524,Komisariat 3525,"ulica Łączna 25/65
65-399 Łuków",20
3525,3525,3525,Komisariat 3526,"aleja Bałtycka 31/73
70-565 Poznań",14
3526,3526,3526,Komisariat 3527,"ul. Stawowa 71/04
82-615 Gniezno",17
3527,3527,3527,Komisariat 3528,"pl. Mokra 91
20-923 Reda",18
3528,3528,3528,Komisariat 3529,"ul. Południowa 15
80-854 Chorzów",29
3529,3529,3529,Komisariat 3530,"pl. Reja 99/23
05-555 Olkusz",16
3530,3530,3530,Komisariat 3531,"ulica Kwiatowa 17/88
83-273 Wejherowo",19
3531,3531,3531,Komisariat 3532,"ulica Głowackiego 65
92-851 Jastrzębie-Zdrój",20
3532,3532,3532,Komisariat 3533,"ul. Leszczynowa 026
18-240 Ostrów Wielkopolski",31
3533,3533,3533,Komisariat 3534,"ul. Gałczynskiego 96
72-983 Mława",18
3534,3534,3534,Komisariat 3535,"aleja Staffa 53/80
63-358 Grudziądz",16
3535,3535,3535,Komisariat 3536,"pl. Starowiejska 88
37-398 Kościerzyna",15
3536,3536,3536,Komisariat 3537,"plac Kalinowa 18/80
98-256 Sanok",19
3537,3537,3537,Komisariat 3538,"pl. Wąska 88/31
96-650 Kalisz",28
3538,3538,3538,Komisariat 3539,"ul. Stawowa 03/36
36-614 Sochaczew",18
3539,3539,3539,Komisariat 3540,"aleja Żeglarska 472
51-064 Jaworzno",20
3540,3540,3540,Komisariat 3541,"aleja Rubinowa 78/01
32-095 Jarocin",24
3541,3541,3541,Komisariat 3542,"aleja Andersa 45
76-796 Jelenia Góra",26
