ID,Nazwa,Adres,Zatrudnieni_funkcjonariusze
3315,Komisariat 3316,"aleja Brzoskwiniowa 44
33-585 Zdunska Wola",11
3316,Komisariat 3317,"al. Piwna 00/62
72-939 Zielona Gora",4
3317,Komisariat 3318,"ul. Klonowa 28/58
71-322 Nowy Targ",11
3318,Komisariat 3319,"aleja Stefana Batorego 86/18
69-693 Pruszcz Gdanski",4
3319,Komisariat 3320,"plac Kosynierow 20
12-513 Wocawek",19
3320,Komisariat 3321,"al. Podgorna 23/99
15-640 Lubartow",13
3321,Komisariat 3322,"al. Glowna 67/33
03-753 Nowa Ruda",8
3322,Komisariat 3323,"pl. Swierczewskiego 19
33-499 Sosnowiec",6
3323,Komisariat 3324,"pl. Wisniowa 44/81
25-295 Kedzierzyn-Kozle",11
3324,Komisariat 3325,"plac Szafirowa 746
99-832 Gdansk",13
3325,Komisariat 3326,"ul. Dobra 34
26-642 Katowice",14
3326,Komisariat 3327,"aleja Wilcza 19
49-477 Tomaszow Mazowiecki",12
3327,Komisariat 3328,"pl. Hutnicza 960
88-908 Pock",7
3328,Komisariat 3329,"plac Podwale 82/35
36-828 Szczytno",8
3329,Komisariat 3330,"plac Gajowa 72
63-573 Bielsko-Biaa",7
3330,Komisariat 3331,"ul. Hutnicza 67/33
09-383 Ostroda",11
3331,Komisariat 3332,"al. Mysliwska 66
71-536 Krotoszyn",8
3332,Komisariat 3333,"plac Stolarska 99/40
86-197 Poznan",13
3333,Komisariat 3334,"plac Debowa 44/83
85-082 Goleniow",6
3334,Komisariat 3335,"al. Ksiezycowa 57
44-910 Knurow",11
3335,Komisariat 3336,"al. Jesienna 23
44-782 Wabrzych",13
3336,Komisariat 3337,"ulica Pomorska 681
54-530 Bochnia",8
3337,Komisariat 3338,"ul. Tylna 02/93
57-480 Jelenia Gora",10
3338,Komisariat 3339,"al. Makowa 06
63-930 Szczytno",8
3339,Komisariat 3340,"pl. Wyszynskiego 673
07-407 Krakow",10
3340,Komisariat 3341,"ulica Sowackiego 709
71-203 Olesnica",8
3341,Komisariat 3342,"aleja Konarskiego 72/43
35-924 aziska Gorne",12
3342,Komisariat 3343,"plac Wrocawska 467
66-261 Sanok",6
3343,Komisariat 3344,"ulica Miosza 663
91-803 Wocawek",9
3344,Komisariat 3345,"pl. Tartaczna 09
16-491 Szczecinek",14
3345,Komisariat 3346,"pl. Boczna 96/88
51-082 Pruszkow",13
3346,Komisariat 3347,"aleja Truskawkowa 55
22-478 Zielona Gora",12
3347,Komisariat 3348,"aleja Jasminowa 07
31-468 Kwidzyn",8
3348,Komisariat 3349,"al. Azaliowa 383
14-284 Zagan",9
3349,Komisariat 3350,"plac Strzelecka 62/37
52-411 Koscian",12
3350,Komisariat 3351,"ulica Chopina 39/95
29-994 Lubin",7
3351,Komisariat 3352,"ul. Ptasia 13/89
81-097 Puawy",7
3352,Komisariat 3353,"plac Topolowa 06
88-045 Zdunska Wola",6
3353,Komisariat 3354,"pl. Szafirowa 57/20
56-077 Supsk",9
3354,Komisariat 3355,"aleja Kaszubska 82/64
42-037 Kielce",13
3355,Komisariat 3356,"plac Wesoa 37/66
80-924 Katowice",12
3356,Komisariat 3357,"ulica Gorna 85
15-269 Zagan",14
3357,Komisariat 3358,"ul. Wilcza 04
19-328 Rybnik",10
3358,Komisariat 3359,"pl. Mickiewicza 85
25-236 Tczew",6
3359,Komisariat 3360,"al. Jaworowa 08/03
04-697 Olkusz",14
3360,Komisariat 3361,"ul. Kosciuszki 52/51
43-594 Piastow",10
3361,Komisariat 3362,"pl. Mazowiecka 16
65-511 Jawor",6
3362,Komisariat 3363,"al. Paderewskiego 29/89
11-625 Zgorzelec",9
3363,Komisariat 3364,"plac Wschodnia 79
46-808 Chrzanow",9
3364,Komisariat 3365,"plac Dolna 73
33-543 Chrzanow",9
3365,Komisariat 3366,"ul. Rolna 889
72-281 Katowice",15
3366,Komisariat 3367,"aleja Zwyciestwa 76
58-181 Piastow",7
3367,Komisariat 3368,"ulica Pisudskiego 014
85-472 Gdansk",10
3368,Komisariat 3369,"aleja Waowa 728
99-398 Sroda Wielkopolska",9
3369,Komisariat 3370,"al. Wodna 88/80
86-759 Zawiercie",10
3370,Komisariat 3371,"pl. Solidarnosci 712
19-799 Bydgoszcz",12
3371,Komisariat 3372,"ulica Wisniowa 56/90
70-858 Olesnica",17
3372,Komisariat 3373,"al. Rzemieslnicza 86/86
20-403 Supsk",8
3373,Komisariat 3374,"plac Orzeszkowej 884
44-978 Sroda Wielkopolska",12
3374,Komisariat 3375,"ulica Pocztowa 64/68
31-975 Zielona Gora",10
3375,Komisariat 3376,"al. Wesoa 64
54-023 Marki",8
3376,Komisariat 3377,"aleja Wybickiego 940
40-865 ukow",7
3377,Komisariat 3378,"al. Zota 40/59
76-355 Bolesawiec",6
3378,Komisariat 3379,"ul. Wislana 20/05
99-506 Swarzedz",16
3379,Komisariat 3380,"ul. Letniskowa 116
84-631 Wacz",11
3380,Komisariat 3381,"ul. Krotka 71/99
96-709 Zamosc",10
3381,Komisariat 3382,"ul. Kolonia 04
51-349 Chem",5
3382,Komisariat 3383,"plac Krolewska 90
87-936 Olsztyn",5
3383,Komisariat 3384,"ul. Mysliwska 41
64-677 Opole",9
3384,Komisariat 3385,"pl. Radosna 395
98-636 Bydgoszcz",8
3385,Komisariat 3386,"plac Gajowa 05
46-286 Katowice",7
3386,Komisariat 3387,"pl. Lubelska 24
07-518 Biaa Podlaska",14
3387,Komisariat 3388,"ul. Zota 30
56-947 Jarocin",11
3388,Komisariat 3389,"pl. Tysiaclecia 26
61-780 Bigoraj",5
3389,Komisariat 3390,"ul. Robotnicza 778
54-789 Sroda Wielkopolska",7
3390,Komisariat 3391,"aleja Jesienna 289
12-267 Czerwionka-Leszczyny",11
3391,Komisariat 3392,"pl. Rumiankowa 658
32-101 Biaogard",16
3392,Komisariat 3393,"plac Lubelska 98/94
39-666 Chojnice",15
3393,Komisariat 3394,"plac Cyprysowa 21/30
27-165 Kutno",7
3394,Komisariat 3395,"ulica Jeziorna 90/39
37-241 Raciborz",10
3395,Komisariat 3396,"pl. Makuszynskiego 14
85-074 Marki",7
3396,Komisariat 3397,"ulica Kolejowa 01
07-339 Zabki",8
3397,Komisariat 3398,"pl. Zwirowa 86
18-519 Jaworzno",11
3398,Komisariat 3399,"plac Okrzei 225
91-823 Lubon",12
3399,Komisariat 3400,"ulica Warynskiego 07
34-473 Marki",9
3400,Komisariat 3401,"al. Sucharskiego 11/39
01-014 Pruszkow",15
3401,Komisariat 3402,"plac Szeroka 69/21
23-362 Gorlice",8
3402,Komisariat 3403,"pl. Torunska 93/89
31-055 Biaogard",8
3403,Komisariat 3404,"aleja Zaciszna 39/64
33-602 Ostrow Wielkopolski",14
3404,Komisariat 3405,"plac Borowkowa 94
03-814 Reda",10
3405,Komisariat 3406,"ul. Lubelska 01
90-807 Knurow",9
3406,Komisariat 3407,"ulica Bydgoska 56
92-430 Ketrzyn",12
3407,Komisariat 3408,"pl. Jezynowa 960
91-507 Ponsk",7
3408,Komisariat 3409,"pl. Kruczkowskiego 62
33-629 Gorlice",14
3409,Komisariat 3410,"ulica Urocza 67/92
52-907 Zabrze",10
3410,Komisariat 3411,"plac Stefana Batorego 12/96
16-104 Skawina",14
3411,Komisariat 3412,"aleja Warszawska 73
96-252 Ek",9
3412,Komisariat 3413,"ul. Miodowa 153
05-414 Sandomierz",7
3413,Komisariat 3414,"aleja Kraszewskiego 75/09
35-660 Bigoraj",6
3414,Komisariat 3415,"al. Szmaragdowa 15
74-717 Sroda Wielkopolska",9
3415,Komisariat 3416,"al. Zacisze 180
47-393 Skarzysko-Kamienna",10
3416,Komisariat 3417,"ul. Zurawia 75/26
26-181 Jastrzebie-Zdroj",8
3417,Komisariat 3418,"al. Okulickiego 62/56
26-943 Szczecin",9
3418,Komisariat 3419,"ulica Cedrowa 50/14
92-636 Tczew",9
3419,Komisariat 3420,"ulica Batalionow Chopskich 77
92-782 Szczecin",8
3420,Komisariat 3421,"pl. Kusocinskiego 28/60
55-991 Pruszkow",10
3421,Komisariat 3422,"ul. Ksiezycowa 290
60-739 Koscierzyna",14
3422,Komisariat 3423,"al. Tysiaclecia 37/32
14-363 Tomaszow Mazowiecki",14
3423,Komisariat 3424,"pl. Tartaczna 65/03
68-864 Lubon",7
3424,Komisariat 3425,"al. Wyspianskiego 810
65-785 Brzeg",5
3425,Komisariat 3426,"al. Batycka 25/22
12-528 Zagan",9
3426,Komisariat 3427,"aleja Przemysowa 29/09
38-785 Radom",9
3427,Komisariat 3428,"plac Broniewskiego 083
12-138 Grodzisk Mazowiecki",8
3428,Komisariat 3429,"ul. Sportowa 47/77
94-208 Leszno",14
3429,Komisariat 3430,"plac Mynska 394
61-945 Lubartow",11
3430,Komisariat 3431,"ulica Turystyczna 16
92-516 Wocawek",10
3431,Komisariat 3432,"pl. Wodna 502
34-044 Reda",9
3432,Komisariat 3433,"ulica Warynskiego 66/60
10-514 Krotoszyn",7
3433,Komisariat 3434,"ulica Majowa 42
61-574 Woomin",5
3434,Komisariat 3435,"ulica Kilinskiego 51/78
94-953 Zabki",12
3435,Komisariat 3436,"ulica Slaska 468
60-326 Koo",10
3436,Komisariat 3437,"al. Warynskiego 02/05
52-564 Stalowa Wola",15
3437,Komisariat 3438,"al. Prusa 293
89-773 Krasnik",7
3438,Komisariat 3439,"al. Wspolna 787
88-533 Opole",9
3439,Komisariat 3440,"pl. Glowna 74
93-426 Biaystok",10
3440,Komisariat 3441,"aleja Batycka 409
18-476 Dzierzoniow",15
3441,Komisariat 3442,"al. Krasinskiego 587
95-820 Poznan",13
3442,Komisariat 3443,"ul. Zacisze 314
70-200 Lebork",9
3443,Komisariat 3444,"pl. Lesna 14
97-346 Ponsk",7
3444,Komisariat 3445,"al. Zwirki i Wigury 82
65-081 Pock",7
3445,Komisariat 3446,"aleja Rolna 56
65-404 Krakow",14
3446,Komisariat 3447,"aleja Mia 86/78
61-062 Sandomierz",7
3447,Komisariat 3448,"ul. Plazowa 57
99-928 Pia",12
3448,Komisariat 3449,"al. Jaworowa 13
24-829 Pia",11
3449,Komisariat 3450,"pl. Liliowa 61
67-986 Torun",5
3450,Komisariat 3451,"ul. Cmentarna 343
78-109 Zary",18
3451,Komisariat 3452,"al. Puaskiego 32/70
64-399 Turek",14
3452,Komisariat 3453,"ulica Skadowa 88/98
92-636 Nowy Sacz",7
3453,Komisariat 3454,"ulica Dolna 94
30-977 Gogow",7
3454,Komisariat 3455,"plac Majowa 54/76
51-221 Srem",12
3455,Komisariat 3456,"al. Harcerska 46/78
39-422 Konin",11
3456,Komisariat 3457,"plac Wyzwolenia 02
69-448 Skawina",17
3457,Komisariat 3458,"pl. Poznanska 559
28-827 Brzeg",18
3458,Komisariat 3459,"ul. Konstytucji 3 Maja 60/25
05-271 Chrzanow",9
3459,Komisariat 3460,"ul. Rzemieslnicza 69
77-743 Kluczbork",8
3460,Komisariat 3461,"ulica Letnia 207
06-036 Swiecie",12
3461,Komisariat 3462,"ulica Turkusowa 67/73
79-758 Brodnica",11
3462,Komisariat 3463,"plac Poniatowskiego 89
21-397 Radomsko",10
3463,Komisariat 3464,"al. Storczykowa 25/84
35-479 Brodnica",8
3464,Komisariat 3465,"plac Szczesliwa 87
11-078 Koscian",9
3465,Komisariat 3466,"plac Chabrowa 91/64
90-394 Cieszyn",16
3466,Komisariat 3467,"pl. Lelewela 32/57
99-034 Lublin",14
3467,Komisariat 3468,"al. Glowna 539
66-342 Lebork",10
3468,Komisariat 3469,"pl. Prosta 81/37
08-607 Otwock",4
3469,Komisariat 3470,"pl. Browarna 570
64-160 Oswiecim",6
3470,Komisariat 3471,"plac Tylna 058
99-268 Szczecin",11
3471,Komisariat 3472,"al. Nakowskiej 206
18-116 Nowa Ruda",11
3472,Komisariat 3473,"ul. Lisia 18/51
25-435 Nowy Targ",10
3473,Komisariat 3474,"ulica Krotka 172
61-072 odz",12
3474,Komisariat 3475,"ulica Stawowa 20/16
48-038 Iawa",14
3475,Komisariat 3476,"pl. Zakole 94
11-956 Lubartow",13
3476,Komisariat 3477,"al. Stefana Batorego 39
11-212 Rumia",3
3477,Komisariat 3478,"plac Gorska 68
43-028 Sandomierz",6
3478,Komisariat 3479,"pl. Jagodowa 09/71
19-270 Wodzisaw Slaski",7
3479,Komisariat 3480,"al. Jaowcowa 34/59
25-191 Jaworzno",11
3480,Komisariat 3481,"ulica Widok 17/97
19-935 Wagrowiec",11
3481,Komisariat 3482,"aleja Przemysowa 799
67-931 Zory",13
3482,Komisariat 3483,"plac Zwirki i Wigury 281
86-093 Elblag",13
3483,Komisariat 3484,"plac Lesna 497
63-135 Minsk Mazowiecki",13
3484,Komisariat 3485,"al. Staffa 57
97-398 Grodzisk Mazowiecki",12
3485,Komisariat 3486,"aleja Morelowa 460
97-929 Pock",10
3486,Komisariat 3487,"aleja Dojazdowa 806
47-004 Bielawa",7
3487,Komisariat 3488,"al. Orzechowa 50
58-972 Tarnow",10
3488,Komisariat 3489,"aleja Owocowa 89
36-969 Bielsk Podlaski",11
3489,Komisariat 3490,"ul. Zeromskiego 546
15-670 Knurow",14
3490,Komisariat 3491,"ul. Piekarska 635
53-469 Kielce",12
3491,Komisariat 3492,"aleja Konwaliowa 557
41-960 Supsk",6
3492,Komisariat 3493,"al. Rolnicza 651
57-116 Ciechanow",9
3493,Komisariat 3494,"plac Zaciszna 42/13
76-197 Kielce",6
3494,Komisariat 3495,"aleja Orzechowa 45/06
31-771 Zdunska Wola",10
3495,Komisariat 3496,"ul. Wroblewskiego 286
82-638 Koszalin",12
3496,Komisariat 3497,"ul. Grabowa 501
03-271 Mysowice",12
3497,Komisariat 3498,"pl. Krasinskiego 64
36-711 Szczytno",7
3498,Komisariat 3499,"plac Piwna 63
84-775 Elblag",8
3499,Komisariat 3500,"ul. Targowa 62/07
58-739 aziska Gorne",13
3500,Komisariat 3501,"plac Srednia 21/22
03-618 Tczew",10
3501,Komisariat 3502,"al. Poznanska 997
73-854 Wrzesnia",7
3502,Komisariat 3503,"ul. Krasinskiego 314
26-416 Radom",14
3503,Komisariat 3504,"plac Wiklinowa 24/25
22-156 Koobrzeg",7
3504,Komisariat 3505,"aleja Pogodna 91
30-440 Lubin",14
3505,Komisariat 3506,"pl. Glowna 840
59-668 Czerwionka-Leszczyny",12
3506,Komisariat 3507,"ul. Letniskowa 33
93-009 Oswiecim",11
3507,Komisariat 3508,"ulica Zwirowa 02/23
14-087 Zyrardow",11
3508,Komisariat 3509,"ulica Wiatraczna 612
15-393 Zamosc",8
3509,Komisariat 3510,"plac Lazurowa 72/11
31-162 Myszkow",11
3510,Komisariat 3511,"pl. Waska 33
46-088 Kalisz",9
3511,Komisariat 3512,"plac Widokowa 72/40
35-340 Minsk Mazowiecki",17
3512,Komisariat 3513,"al. Kolorowa 801
55-684 Ciechanow",9
3513,Komisariat 3514,"plac Kochanowskiego 80
98-764 Zagan",7
3514,Komisariat 3515,"ul. Gorska 76/10
29-217 Gorlice",10
3515,Komisariat 3516,"aleja Konopnickiej 42/72
62-470 omza",12
3516,Komisariat 3517,"pl. Jarzebinowa 88
96-458 Bigoraj",15
3517,Komisariat 3518,"plac Rataja 700
36-141 Sanok",16
3518,Komisariat 3519,"plac Spodzielcza 79/41
92-641 Piastow",11
3519,Komisariat 3520,"ulica Jodowa 42/73
24-109 Malbork",14
3520,Komisariat 3521,"aleja Kochanowskiego 34
03-734 Poznan",11
3521,Komisariat 3522,"ul. Wadysawa okietka 46/75
12-325 owicz",8
3522,Komisariat 3523,"plac Sadowa 57/97
69-147 Police",8
3523,Komisariat 3524,"al. Morska 72
49-446 Bytom",15
3524,Komisariat 3525,"ulica aczna 25/65
65-399 ukow",8
3525,Komisariat 3526,"aleja Batycka 31/73
70-565 Poznan",10
3526,Komisariat 3527,"ul. Stawowa 71/04
82-615 Gniezno",9
3527,Komisariat 3528,"pl. Mokra 91
20-923 Reda",13
3528,Komisariat 3529,"ul. Poudniowa 15
80-854 Chorzow",16
3529,Komisariat 3530,"pl. Reja 99/23
05-555 Olkusz",4
3530,Komisariat 3531,"ulica Kwiatowa 17/88
83-273 Wejherowo",7
3531,Komisariat 3532,"ulica Gowackiego 65
92-851 Jastrzebie-Zdroj",9
3532,Komisariat 3533,"ul. Leszczynowa 026
18-240 Ostrow Wielkopolski",18
3533,Komisariat 3534,"ul. Gaczynskiego 96
72-983 Mawa",6
3534,Komisariat 3535,"aleja Staffa 53/80
63-358 Grudziadz",10
3535,Komisariat 3536,"pl. Starowiejska 88
37-398 Koscierzyna",10
3536,Komisariat 3537,"plac Kalinowa 18/80
98-256 Sanok",10
3537,Komisariat 3538,"pl. Waska 88/31
96-650 Kalisz",17
3538,Komisariat 3539,"ul. Stawowa 03/36
36-614 Sochaczew",11
3539,Komisariat 3540,"aleja Zeglarska 472
51-064 Jaworzno",9
3540,Komisariat 3541,"aleja Rubinowa 78/01
32-095 Jarocin",14
3541,Komisariat 3542,"aleja Andersa 45
76-796 Jelenia Gora",17
3542,Komisariat 3543,"pl. Brzechwy 43/97
24-878 Tarnowskie Gory",15
3543,Komisariat 3544,"plac Witosa 38/99
47-312 Dabrowa Gornicza",9
3544,Komisariat 3545,"pl. Dabrowskiego 82
75-113 Wrzesnia",9
3545,Komisariat 3546,"ulica Storczykowa 76
36-553 Wagrowiec",8
3546,Komisariat 3547,"plac Szarych Szeregow 53
24-312 Zambrow",9
3547,Komisariat 3548,"ul. Magnoliowa 799
48-156 Mielec",11
3548,Komisariat 3549,"ulica Jadwigi 16/31
10-017 Malbork",8
3549,Komisariat 3550,"pl. Wisniowa 096
13-406 Jarocin",9
3550,Komisariat 3551,"pl. Wisniowa 936
26-827 Reda",8
3551,Komisariat 3552,"plac Chmielna 55
60-429 Ostroeka",8
3552,Komisariat 3553,"ulica Baczynskiego 78/54
65-435 Sopot",17
3553,Komisariat 3554,"ulica Jasminowa 53
23-881 Lubartow",11
3554,Komisariat 3555,"pl. Kosynierow 42/36
82-949 Raciborz",13
3555,Komisariat 3556,"ul. Wesoa 73
46-393 Grodzisk Mazowiecki",10
3556,Komisariat 3557,"plac Ceglana 862
95-049 Dabrowa Gornicza",10
3557,Komisariat 3558,"ul. Kusocinskiego 20
13-715 Poznan",9
3558,Komisariat 3559,"ulica Okulickiego 264
40-286 Chorzow",12
3559,Komisariat 3560,"plac Mokra 09/80
39-479 Lublin",14
3560,Komisariat 3561,"al. Kowalska 56/58
66-366 Zary",11
3561,Komisariat 3562,"ulica Orzeszkowej 210
32-115 Swidnik",13
3562,Komisariat 3563,"pl. Grunwaldzka 53/73
54-209 Kluczbork",11
3563,Komisariat 3564,"ul. Czestochowska 296
78-473 Zagan",6
3564,Komisariat 3565,"pl. Armii Krajowej 698
11-278 Stalowa Wola",8
3565,Komisariat 3566,"ulica Cyprysowa 13/47
95-760 Chojnice",15
3566,Komisariat 3567,"pl. Mazurska 226
08-257 Pock",5
3567,Komisariat 3568,"pl. Jezynowa 911
82-426 Kedzierzyn-Kozle",13
3568,Komisariat 3569,"ul. Szafirowa 702
56-474 Piaseczno",5
3569,Komisariat 3570,"al. Widokowa 661
50-410 Bielsko-Biaa",11
3570,Komisariat 3571,"ul. Asnyka 31
81-782 Rumia",10
3571,Komisariat 3572,"pl. Polna 03
36-585 Wocawek",7
3572,Komisariat 3573,"pl. Zwyciestwa 90/29
88-457 Mawa",5
3573,Komisariat 3574,"ul. Stroma 220
58-775 Lubartow",18
3574,Komisariat 3575,"al. Krolewska 838
15-801 Sandomierz",11
3575,Komisariat 3576,"pl. Konarskiego 41/47
30-166 Swinoujscie",12
3576,Komisariat 3577,"aleja Szczesliwa 310
32-087 Zgierz",10
3577,Komisariat 3578,"al. Zwirki i Wigury 863
70-809 Ostroda",10
3578,Komisariat 3579,"al. Makuszynskiego 90
03-631 Czeladz",9
3579,Komisariat 3580,"ul. Goebia 91
50-247 Zambrow",10
3580,Komisariat 3581,"plac Nowowiejska 29
97-420 Brodnica",7
3581,Komisariat 3582,"ulica Sowia 25
18-434 Grudziadz",6
3582,Komisariat 3583,"al. Krasickiego 887
62-663 Swiebodzice",7
3583,Komisariat 3584,"ul. Agrestowa 22/74
17-136 Bytom",12
3584,Komisariat 3585,"pl. Pogodna 82
17-209 Jawor",9
3585,Komisariat 3586,"aleja Ksiezycowa 988
44-778 Ketrzyn",9
3586,Komisariat 3587,"pl. Debowa 075
36-775 Czeladz",8
3587,Komisariat 3588,"plac Miarki 809
11-641 Przemysl",12
3588,Komisariat 3589,"ulica Wilcza 869
09-980 Jelenia Gora",14
3589,Komisariat 3590,"ul. Dolna 88
03-743 Rumia",12
3590,Komisariat 3591,"pl. Leszczynowa 12
43-035 Debica",9
3591,Komisariat 3592,"aleja Drzymay 982
24-965 Konin",5
3592,Komisariat 3593,"ul. Jasna 27
02-695 Police",9
3593,Komisariat 3594,"al. Brzoskwiniowa 152
35-421 Torun",13
3594,Komisariat 3595,"pl. Zamkowa 51
19-761 Czechowice-Dziedzice",10
3595,Komisariat 3596,"ulica Nakowskiej 39/50
46-153 Bigoraj",9
3596,Komisariat 3597,"ulica Rozana 28
63-320 Gdansk",15
3597,Komisariat 3598,"al. anowa 53/47
48-570 Swidnik",13
3598,Komisariat 3599,"aleja Reja 80/34
73-060 Katowice",7
3599,Komisariat 3600,"ul. Graniczna 292
03-450 Siedlce",6
3600,Komisariat 3601,"aleja Tulipanowa 54
49-563 Ostrow Mazowiecka",10
3601,Komisariat 3602,"pl. Zabia 39/96
21-220 Rumia",6
3602,Komisariat 3603,"ul. Jeziorna 60
44-652 Rybnik",12
3603,Komisariat 3604,"pl. Radosna 78
20-722 Ruda Slaska",13
3604,Komisariat 3605,"ul. Kazimierza Wielkiego 622
36-367 Swarzedz",10
3605,Komisariat 3606,"al. Sybirakow 33
84-178 Starogard Gdanski",8
3606,Komisariat 3607,"ulica Ogrodowa 949
77-068 Skawina",7
3607,Komisariat 3608,"aleja Pisudskiego 79/44
41-768 Elblag",13
3608,Komisariat 3609,"al. Wyszynskiego 489
72-346 Bartoszyce",8
3609,Komisariat 3610,"ulica Matejki 57
04-367 Gogow",7
3610,Komisariat 3611,"plac Zamkowa 746
20-166 Zielona Gora",8
3611,Komisariat 3612,"ulica Krotka 57
91-566 Raciborz",7
3612,Komisariat 3613,"plac Okrezna 512
13-154 Radomsko",9
3613,Komisariat 3614,"plac Sadowa 33
16-905 Zagan",9
3614,Komisariat 3615,"al. Sucharskiego 453
81-028 ukow",10
3615,Komisariat 3616,"al. Skrajna 457
79-674 Lubartow",11
3616,Komisariat 3617,"ul. Matejki 32
14-669 Ruda Slaska",14
3617,Komisariat 3618,"al. Diamentowa 366
39-897 Elblag",12
3618,Komisariat 3619,"al. Piastowska 437
80-616 Pszczyna",9
3619,Komisariat 3620,"ul. Kossaka 00/59
37-799 Jaworzno",10
3620,Komisariat 3621,"plac Dabrowskiej 08/25
27-136 Kielce",5
3621,Komisariat 3622,"al. Zakatek 705
02-911 Szczytno",5
3622,Komisariat 3623,"aleja Zacisze 24
34-549 Pock",8
3623,Komisariat 3624,"ul. Jesienna 41
47-514 Bechatow",7
3624,Komisariat 3625,"al. Norwida 417
73-438 Zabrze",10
3625,Komisariat 3626,"ulica Tysiaclecia 10
08-224 Skawina",16
3626,Komisariat 3627,"plac Nadrzeczna 17/03
98-135 Tomaszow Mazowiecki",8
3627,Komisariat 3628,"ulica Piaskowa 92
53-212 Puawy",6
3628,Komisariat 3629,"ulica Sportowa 30/92
17-220 Jastrzebie-Zdroj",7
3629,Komisariat 3630,"al. Sowianska 452
97-783 Swiecie",7
3630,Komisariat 3631,"al. Warynskiego 19
10-996 Nowy Targ",11
3631,Komisariat 3632,"al. Listopada 626
82-391 Skierniewice",8
3632,Komisariat 3633,"pl. Bolesawa Krzywoustego 955
05-084 Tarnobrzeg",7
3633,Komisariat 3634,"al. Grottgera 01
62-349 Nowa Ruda",10
3634,Komisariat 3635,"aleja Harcerska 136
19-597 Legionowo",12
3635,Komisariat 3636,"ulica Konarskiego 59
47-943 Jelenia Gora",6
3636,Komisariat 3637,"ulica Ciasna 05
44-219 Zgorzelec",10
3637,Komisariat 3638,"al. Jaskocza 65
14-750 Piotrkow Trybunalski",8
3638,Komisariat 3639,"pl. Topolowa 68/63
84-946 Ketrzyn",14
3639,Komisariat 3640,"ulica Podlesna 20
45-680 Skierniewice",7
3640,Komisariat 3641,"ulica Mostowa 77/46
54-279 Krosno",11
3641,Komisariat 3642,"ulica Konopnickiej 07
80-371 Kalisz",14
3642,Komisariat 3643,"plac Tysiaclecia 286
58-058 Tarnobrzeg",13
3643,Komisariat 3644,"plac Wieniawskiego 78/40
50-217 Gorzow Wielkopolski",11
3644,Komisariat 3645,"aleja Pszenna 06
50-775 Starachowice",7
3645,Komisariat 3646,"plac Swierczewskiego 02
13-435 Biaystok",9
3646,Komisariat 3647,"ulica Zielna 342
66-563 Tarnow",10
3647,Komisariat 3648,"plac Wolnosci 07
77-138 Supsk",12
3648,Komisariat 3649,"aleja Wyspianskiego 45
54-249 Grodzisk Mazowiecki",9
3649,Komisariat 3650,"al. Okrezna 73/38
44-776 Kielce",4
3650,Komisariat 3651,"aleja Cicha 34/66
32-216 Czeladz",10
3651,Komisariat 3652,"pl. Willowa 81
08-483 Opole",12
3652,Komisariat 3653,"plac Lotnicza 46
53-839 Iawa",12
3653,Komisariat 3654,"plac Zwyciestwa 202
06-841 Rybnik",7
3654,Komisariat 3655,"aleja Nadrzeczna 94
54-213 Jastrzebie-Zdroj",9
3655,Komisariat 3656,"al. Wroblewskiego 60/73
09-148 Jarosaw",9
3656,Komisariat 3657,"al. Dworska 88/20
20-845 Ruda Slaska",10
3657,Komisariat 3658,"aleja Sybirakow 20/92
67-291 Lublin",11
3658,Komisariat 3659,"plac Letniskowa 40/21
95-466 Reda",7
3659,Komisariat 3660,"ul. Jaboniowa 727
07-144 Myszkow",13
3660,Komisariat 3661,"ulica Pszenna 36/14
15-096 Siemianowice Slaskie",11
3661,Komisariat 3662,"plac Srednia 71/67
96-904 Ciechanow",9
3662,Komisariat 3663,"pl. Krasinskiego 06/32
24-092 Zambrow",5
3663,Komisariat 3664,"ulica Akacjowa 697
38-623 Bechatow",10
3664,Komisariat 3665,"plac Topolowa 18/17
06-645 Augustow",11
3665,Komisariat 3666,"ul. Jaskocza 62/08
23-605 Minsk Mazowiecki",14
3666,Komisariat 3667,"ulica Makuszynskiego 15
26-165 Mysowice",14
3667,Komisariat 3668,"pl. Szpitalna 50/88
70-651 Bolesawiec",11
3668,Komisariat 3669,"pl. Brzozowa 71
18-408 Pszczyna",9
3669,Komisariat 3670,"ulica Klasztorna 13
28-889 Krosno",8
3670,Komisariat 3671,"ulica Kraszewskiego 945
70-676 Kielce",12
3671,Komisariat 3672,"aleja Srodkowa 161
85-008 Piaseczno",7
3672,Komisariat 3673,"aleja Mynarska 201
55-244 Czestochowa",18
3673,Komisariat 3674,"plac Zurawia 82
05-892 Grudziadz",11
3674,Komisariat 3675,"aleja Dabrowskiej 25
67-458 Chem",7
3675,Komisariat 3676,"ulica Graniczna 171
29-421 Rybnik",7
3676,Komisariat 3677,"al. Popieuszki 863
44-688 Pszczyna",10
3677,Komisariat 3678,"pl. Zwyciestwa 27/51
62-767 Woomin",15
3678,Komisariat 3679,"ulica Skadowa 00/98
33-148 Pruszkow",3
3679,Komisariat 3680,"pl. Krokusowa 25
73-831 Gdynia",12
3680,Komisariat 3681,"ulica Zamkowa 56/91
15-977 Bartoszyce",15
3681,Komisariat 3682,"plac Polna 449
74-488 Cieszyn",11
3682,Komisariat 3683,"ul. Brzozowa 39
41-111 Starachowice",14
3683,Komisariat 3684,"al. Koralowa 43
91-261 Poznan",10
