ID,Nazwa,Adres,Zatrudnieni_funkcjonariusze
3389,Komisariat 3390,"ul. Robotnicza 778
54-789 Sroda Wielkopolska",19
3390,Komisariat 3391,"aleja Jesienna 289
12-267 Czerwionka-Leszczyny",18
3391,Komisariat 3392,"pl. Rumiankowa 658
32-101 Biaogard",25
3392,Komisariat 3393,"plac Lubelska 98/94
39-666 Chojnice",27
3393,Komisariat 3394,"plac Cyprysowa 21/30
27-165 Kutno",17
3394,Komisariat 3395,"ulica Jeziorna 90/39
37-241 Raciborz",20
3395,Komisariat 3396,"pl. Makuszynskiego 14
85-074 Marki",19
3396,Komisariat 3397,"ulica Kolejowa 01
07-339 Zabki",20
3397,Komisariat 3398,"pl. Zwirowa 86
18-519 Jaworzno",21
3398,Komisariat 3399,"plac Okrzei 225
91-823 Lubon",18
3399,Komisariat 3400,"ulica Warynskiego 07
34-473 Marki",16
3400,Komisariat 3401,"al. Sucharskiego 11/39
01-014 Pruszkow",27
3401,Komisariat 3402,"plac Szeroka 69/21
23-362 Gorlice",13
3402,Komisariat 3403,"pl. Torunska 93/89
31-055 Biaogard",15
3403,Komisariat 3404,"aleja Zaciszna 39/64
33-602 Ostrow Wielkopolski",22
3404,Komisariat 3405,"plac Borowkowa 94
03-814 Reda",16
3405,Komisariat 3406,"ul. Lubelska 01
90-807 Knurow",16
3406,Komisariat 3407,"ulica Bydgoska 56
92-430 Ketrzyn",23
3407,Komisariat 3408,"pl. Jezynowa 960
91-507 Ponsk",18
3408,Komisariat 3409,"pl. Kruczkowskiego 62
33-629 Gorlice",21
3409,Komisariat 3410,"ulica Urocza 67/92
52-907 Zabrze",20
3410,Komisariat 3411,"plac Stefana Batorego 12/96
16-104 Skawina",21
3411,Komisariat 3412,"aleja Warszawska 73
96-252 Ek",21
3412,Komisariat 3413,"ul. Miodowa 153
05-414 Sandomierz",13
3413,Komisariat 3414,"aleja Kraszewskiego 75/09
35-660 Bigoraj",13
3414,Komisariat 3415,"al. Szmaragdowa 15
74-717 Sroda Wielkopolska",14
3415,Komisariat 3416,"al. Zacisze 180
47-393 Skarzysko-Kamienna",17
3416,Komisariat 3417,"ul. Zurawia 75/26
26-181 Jastrzebie-Zdroj",19
3417,Komisariat 3418,"al. Okulickiego 62/56
26-943 Szczecin",17
3418,Komisariat 3419,"ulica Cedrowa 50/14
92-636 Tczew",21
3419,Komisariat 3420,"ulica Batalionow Chopskich 77
92-782 Szczecin",15
3420,Komisariat 3421,"pl. Kusocinskiego 28/60
55-991 Pruszkow",18
3421,Komisariat 3422,"ul. Ksiezycowa 290
60-739 Koscierzyna",21
3422,Komisariat 3423,"al. Tysiaclecia 37/32
14-363 Tomaszow Mazowiecki",22
3423,Komisariat 3424,"pl. Tartaczna 65/03
68-864 Lubon",18
3424,Komisariat 3425,"al. Wyspianskiego 810
65-785 Brzeg",15
3425,Komisariat 3426,"al. Batycka 25/22
12-528 Zagan",19
3426,Komisariat 3427,"aleja Przemysowa 29/09
38-785 Radom",16
3427,Komisariat 3428,"plac Broniewskiego 083
12-138 Grodzisk Mazowiecki",17
3428,Komisariat 3429,"ul. Sportowa 47/77
94-208 Leszno",18
3429,Komisariat 3430,"plac Mynska 394
61-945 Lubartow",15
3430,Komisariat 3431,"ulica Turystyczna 16
92-516 Wocawek",30
3431,Komisariat 3432,"pl. Wodna 502
34-044 Reda",16
3432,Komisariat 3433,"ulica Warynskiego 66/60
10-514 Krotoszyn",14
3433,Komisariat 3434,"ulica Majowa 42
61-574 Woomin",11
3434,Komisariat 3435,"ulica Kilinskiego 51/78
94-953 Zabki",20
3435,Komisariat 3436,"ulica Slaska 468
60-326 Koo",17
3436,Komisariat 3437,"al. Warynskiego 02/05
52-564 Stalowa Wola",27
3437,Komisariat 3438,"al. Prusa 293
89-773 Krasnik",19
3438,Komisariat 3439,"al. Wspolna 787
88-533 Opole",12
3439,Komisariat 3440,"pl. Glowna 74
93-426 Biaystok",26
3440,Komisariat 3441,"aleja Batycka 409
18-476 Dzierzoniow",27
3441,Komisariat 3442,"al. Krasinskiego 587
95-820 Poznan",26
3442,Komisariat 3443,"ul. Zacisze 314
70-200 Lebork",15
3443,Komisariat 3444,"pl. Lesna 14
97-346 Ponsk",9
3444,Komisariat 3445,"al. Zwirki i Wigury 82
65-081 Pock",15
3445,Komisariat 3446,"aleja Rolna 56
65-404 Krakow",25
3446,Komisariat 3447,"aleja Mia 86/78
61-062 Sandomierz",14
3447,Komisariat 3448,"ul. Plazowa 57
99-928 Pia",22
3448,Komisariat 3449,"al. Jaworowa 13
24-829 Pia",31
3449,Komisariat 3450,"pl. Liliowa 61
67-986 Torun",12
3450,Komisariat 3451,"ul. Cmentarna 343
78-109 Zary",28
3451,Komisariat 3452,"al. Puaskiego 32/70
64-399 Turek",25
3452,Komisariat 3453,"ulica Skadowa 88/98
92-636 Nowy Sacz",14
3453,Komisariat 3454,"ulica Dolna 94
30-977 Gogow",24
3454,Komisariat 3455,"plac Majowa 54/76
51-221 Srem",20
3455,Komisariat 3456,"al. Harcerska 46/78
39-422 Konin",24
3456,Komisariat 3457,"plac Wyzwolenia 02
69-448 Skawina",25
3457,Komisariat 3458,"pl. Poznanska 559
28-827 Brzeg",30
3458,Komisariat 3459,"ul. Konstytucji 3 Maja 60/25
05-271 Chrzanow",19
3459,Komisariat 3460,"ul. Rzemieslnicza 69
77-743 Kluczbork",15
3460,Komisariat 3461,"ulica Letnia 207
06-036 Swiecie",21
3461,Komisariat 3462,"ulica Turkusowa 67/73
79-758 Brodnica",19
3462,Komisariat 3463,"plac Poniatowskiego 89
21-397 Radomsko",19
3463,Komisariat 3464,"al. Storczykowa 25/84
35-479 Brodnica",20
3464,Komisariat 3465,"plac Szczesliwa 87
11-078 Koscian",14
3465,Komisariat 3466,"plac Chabrowa 91/64
90-394 Cieszyn",26
3466,Komisariat 3467,"pl. Lelewela 32/57
99-034 Lublin",24
3467,Komisariat 3468,"al. Glowna 539
66-342 Lebork",19
3468,Komisariat 3469,"pl. Prosta 81/37
08-607 Otwock",17
3469,Komisariat 3470,"pl. Browarna 570
64-160 Oswiecim",17
3470,Komisariat 3471,"plac Tylna 058
99-268 Szczecin",21
3471,Komisariat 3472,"al. Nakowskiej 206
18-116 Nowa Ruda",24
3472,Komisariat 3473,"ul. Lisia 18/51
25-435 Nowy Targ",19
3473,Komisariat 3474,"ulica Krotka 172
61-072 odz",22
3474,Komisariat 3475,"ulica Stawowa 20/16
48-038 Iawa",26
3475,Komisariat 3476,"pl. Zakole 94
11-956 Lubartow",22
3476,Komisariat 3477,"al. Stefana Batorego 39
11-212 Rumia",8
3477,Komisariat 3478,"plac Gorska 68
43-028 Sandomierz",15
3478,Komisariat 3479,"pl. Jagodowa 09/71
19-270 Wodzisaw Slaski",15
3479,Komisariat 3480,"al. Jaowcowa 34/59
25-191 Jaworzno",21
3480,Komisariat 3481,"ulica Widok 17/97
19-935 Wagrowiec",28
3481,Komisariat 3482,"aleja Przemysowa 799
67-931 Zory",26
3482,Komisariat 3483,"plac Zwirki i Wigury 281
86-093 Elblag",20
3483,Komisariat 3484,"plac Lesna 497
63-135 Minsk Mazowiecki",27
3484,Komisariat 3485,"al. Staffa 57
97-398 Grodzisk Mazowiecki",25
3485,Komisariat 3486,"aleja Morelowa 460
97-929 Pock",19
3486,Komisariat 3487,"aleja Dojazdowa 806
47-004 Bielawa",17
3487,Komisariat 3488,"al. Orzechowa 50
58-972 Tarnow",16
3488,Komisariat 3489,"aleja Owocowa 89
36-969 Bielsk Podlaski",20
3489,Komisariat 3490,"ul. Zeromskiego 546
15-670 Knurow",18
3490,Komisariat 3491,"ul. Piekarska 635
53-469 Kielce",23
3491,Komisariat 3492,"aleja Konwaliowa 557
41-960 Supsk",14
3492,Komisariat 3493,"al. Rolnicza 651
57-116 Ciechanow",24
3493,Komisariat 3494,"plac Zaciszna 42/13
76-197 Kielce",16
3494,Komisariat 3495,"aleja Orzechowa 45/06
31-771 Zdunska Wola",21
3495,Komisariat 3496,"ul. Wroblewskiego 286
82-638 Koszalin",20
3496,Komisariat 3497,"ul. Grabowa 501
03-271 Mysowice",28
3497,Komisariat 3498,"pl. Krasinskiego 64
36-711 Szczytno",13
3498,Komisariat 3499,"plac Piwna 63
84-775 Elblag",17
3499,Komisariat 3500,"ul. Targowa 62/07
58-739 aziska Gorne",28
3500,Komisariat 3501,"plac Srednia 21/22
03-618 Tczew",23
3501,Komisariat 3502,"al. Poznanska 997
73-854 Wrzesnia",16
3502,Komisariat 3503,"ul. Krasinskiego 314
26-416 Radom",23
3503,Komisariat 3504,"plac Wiklinowa 24/25
22-156 Koobrzeg",16
3504,Komisariat 3505,"aleja Pogodna 91
30-440 Lubin",25
3505,Komisariat 3506,"pl. Glowna 840
59-668 Czerwionka-Leszczyny",24
3506,Komisariat 3507,"ul. Letniskowa 33
93-009 Oswiecim",23
3507,Komisariat 3508,"ulica Zwirowa 02/23
14-087 Zyrardow",19
3508,Komisariat 3509,"ulica Wiatraczna 612
15-393 Zamosc",15
3509,Komisariat 3510,"plac Lazurowa 72/11
31-162 Myszkow",23
3510,Komisariat 3511,"pl. Waska 33
46-088 Kalisz",22
3511,Komisariat 3512,"plac Widokowa 72/40
35-340 Minsk Mazowiecki",28
3512,Komisariat 3513,"al. Kolorowa 801
55-684 Ciechanow",16
3513,Komisariat 3514,"plac Kochanowskiego 80
98-764 Zagan",19
3514,Komisariat 3515,"ul. Gorska 76/10
29-217 Gorlice",21
3515,Komisariat 3516,"aleja Konopnickiej 42/72
62-470 omza",21
3516,Komisariat 3517,"pl. Jarzebinowa 88
96-458 Bigoraj",27
3517,Komisariat 3518,"plac Rataja 700
36-141 Sanok",28
3518,Komisariat 3519,"plac Spodzielcza 79/41
92-641 Piastow",19
3519,Komisariat 3520,"ulica Jodowa 42/73
24-109 Malbork",25
3520,Komisariat 3521,"aleja Kochanowskiego 34
03-734 Poznan",23
3521,Komisariat 3522,"ul. Wadysawa okietka 46/75
12-325 owicz",22
3522,Komisariat 3523,"plac Sadowa 57/97
69-147 Police",24
3523,Komisariat 3524,"al. Morska 72
49-446 Bytom",25
3524,Komisariat 3525,"ulica aczna 25/65
65-399 ukow",20
3525,Komisariat 3526,"aleja Batycka 31/73
70-565 Poznan",14
3526,Komisariat 3527,"ul. Stawowa 71/04
82-615 Gniezno",17
3527,Komisariat 3528,"pl. Mokra 91
20-923 Reda",18
3528,Komisariat 3529,"ul. Poudniowa 15
80-854 Chorzow",29
3529,Komisariat 3530,"pl. Reja 99/23
05-555 Olkusz",16
3530,Komisariat 3531,"ulica Kwiatowa 17/88
83-273 Wejherowo",19
3531,Komisariat 3532,"ulica Gowackiego 65
92-851 Jastrzebie-Zdroj",20
3532,Komisariat 3533,"ul. Leszczynowa 026
18-240 Ostrow Wielkopolski",31
3533,Komisariat 3534,"ul. Gaczynskiego 96
72-983 Mawa",18
3534,Komisariat 3535,"aleja Staffa 53/80
63-358 Grudziadz",16
3535,Komisariat 3536,"pl. Starowiejska 88
37-398 Koscierzyna",15
3536,Komisariat 3537,"plac Kalinowa 18/80
98-256 Sanok",19
3537,Komisariat 3538,"pl. Waska 88/31
96-650 Kalisz",28
3538,Komisariat 3539,"ul. Stawowa 03/36
36-614 Sochaczew",18
3539,Komisariat 3540,"aleja Zeglarska 472
51-064 Jaworzno",20
3540,Komisariat 3541,"aleja Rubinowa 78/01
32-095 Jarocin",24
3541,Komisariat 3542,"aleja Andersa 45
76-796 Jelenia Gora",26
3542,Komisariat 3543,"pl. Brzechwy 43/97
24-878 Tarnowskie Gory",21
3543,Komisariat 3544,"plac Witosa 38/99
47-312 Dabrowa Gornicza",19
3544,Komisariat 3545,"pl. Dabrowskiego 82
75-113 Wrzesnia",20
3545,Komisariat 3546,"ulica Storczykowa 76
36-553 Wagrowiec",15
3546,Komisariat 3547,"plac Szarych Szeregow 53
24-312 Zambrow",21
3547,Komisariat 3548,"ul. Magnoliowa 799
48-156 Mielec",20
3548,Komisariat 3549,"ulica Jadwigi 16/31
10-017 Malbork",21
3549,Komisariat 3550,"pl. Wisniowa 096
13-406 Jarocin",19
3550,Komisariat 3551,"pl. Wisniowa 936
26-827 Reda",18
3551,Komisariat 3552,"plac Chmielna 55
60-429 Ostroeka",19
3552,Komisariat 3553,"ulica Baczynskiego 78/54
65-435 Sopot",25
3553,Komisariat 3554,"ulica Jasminowa 53
23-881 Lubartow",24
3554,Komisariat 3555,"pl. Kosynierow 42/36
82-949 Raciborz",27
3555,Komisariat 3556,"ul. Wesoa 73
46-393 Grodzisk Mazowiecki",17
3556,Komisariat 3557,"plac Ceglana 862
95-049 Dabrowa Gornicza",18
3557,Komisariat 3558,"ul. Kusocinskiego 20
13-715 Poznan",14
3558,Komisariat 3559,"ulica Okulickiego 264
40-286 Chorzow",21
3559,Komisariat 3560,"plac Mokra 09/80
39-479 Lublin",22
3560,Komisariat 3561,"al. Kowalska 56/58
66-366 Zary",20
3561,Komisariat 3562,"ulica Orzeszkowej 210
32-115 Swidnik",20
3562,Komisariat 3563,"pl. Grunwaldzka 53/73
54-209 Kluczbork",16
3563,Komisariat 3564,"ul. Czestochowska 296
78-473 Zagan",16
3564,Komisariat 3565,"pl. Armii Krajowej 698
11-278 Stalowa Wola",15
3565,Komisariat 3566,"ulica Cyprysowa 13/47
95-760 Chojnice",21
3566,Komisariat 3567,"pl. Mazurska 226
08-257 Pock",11
3567,Komisariat 3568,"pl. Jezynowa 911
82-426 Kedzierzyn-Kozle",22
3568,Komisariat 3569,"ul. Szafirowa 702
56-474 Piaseczno",16
3569,Komisariat 3570,"al. Widokowa 661
50-410 Bielsko-Biaa",21
3570,Komisariat 3571,"ul. Asnyka 31
81-782 Rumia",25
3571,Komisariat 3572,"pl. Polna 03
36-585 Wocawek",15
3572,Komisariat 3573,"pl. Zwyciestwa 90/29
88-457 Mawa",18
3573,Komisariat 3574,"ul. Stroma 220
58-775 Lubartow",29
3574,Komisariat 3575,"al. Krolewska 838
15-801 Sandomierz",20
3575,Komisariat 3576,"pl. Konarskiego 41/47
30-166 Swinoujscie",17
3576,Komisariat 3577,"aleja Szczesliwa 310
32-087 Zgierz",22
3577,Komisariat 3578,"al. Zwirki i Wigury 863
70-809 Ostroda",17
3578,Komisariat 3579,"al. Makuszynskiego 90
03-631 Czeladz",20
3579,Komisariat 3580,"ul. Goebia 91
50-247 Zambrow",20
3580,Komisariat 3581,"plac Nowowiejska 29
97-420 Brodnica",18
3581,Komisariat 3582,"ulica Sowia 25
18-434 Grudziadz",14
3582,Komisariat 3583,"al. Krasickiego 887
62-663 Swiebodzice",12
3583,Komisariat 3584,"ul. Agrestowa 22/74
17-136 Bytom",21
3584,Komisariat 3585,"pl. Pogodna 82
17-209 Jawor",18
3585,Komisariat 3586,"aleja Ksiezycowa 988
44-778 Ketrzyn",20
3586,Komisariat 3587,"pl. Debowa 075
36-775 Czeladz",13
3587,Komisariat 3588,"plac Miarki 809
11-641 Przemysl",23
3588,Komisariat 3589,"ulica Wilcza 869
09-980 Jelenia Gora",22
3589,Komisariat 3590,"ul. Dolna 88
03-743 Rumia",26
3590,Komisariat 3591,"pl. Leszczynowa 12
43-035 Debica",19
3591,Komisariat 3592,"aleja Drzymay 982
24-965 Konin",18
3592,Komisariat 3593,"ul. Jasna 27
02-695 Police",18
3593,Komisariat 3594,"al. Brzoskwiniowa 152
35-421 Torun",20
3594,Komisariat 3595,"pl. Zamkowa 51
19-761 Czechowice-Dziedzice",19
3595,Komisariat 3596,"ulica Nakowskiej 39/50
46-153 Bigoraj",24
3596,Komisariat 3597,"ulica Rozana 28
63-320 Gdansk",25
3597,Komisariat 3598,"al. anowa 53/47
48-570 Swidnik",22
3598,Komisariat 3599,"aleja Reja 80/34
73-060 Katowice",15
3599,Komisariat 3600,"ul. Graniczna 292
03-450 Siedlce",14
3600,Komisariat 3601,"aleja Tulipanowa 54
49-563 Ostrow Mazowiecka",23
3601,Komisariat 3602,"pl. Zabia 39/96
21-220 Rumia",16
3602,Komisariat 3603,"ul. Jeziorna 60
44-652 Rybnik",22
3603,Komisariat 3604,"pl. Radosna 78
20-722 Ruda Slaska",23
3604,Komisariat 3605,"ul. Kazimierza Wielkiego 622
36-367 Swarzedz",19
3605,Komisariat 3606,"al. Sybirakow 33
84-178 Starogard Gdanski",21
3606,Komisariat 3607,"ulica Ogrodowa 949
77-068 Skawina",11
3607,Komisariat 3608,"aleja Pisudskiego 79/44
41-768 Elblag",21
3608,Komisariat 3609,"al. Wyszynskiego 489
72-346 Bartoszyce",18
3609,Komisariat 3610,"ulica Matejki 57
04-367 Gogow",21
3610,Komisariat 3611,"plac Zamkowa 746
20-166 Zielona Gora",11
3611,Komisariat 3612,"ulica Krotka 57
91-566 Raciborz",23
3612,Komisariat 3613,"plac Okrezna 512
13-154 Radomsko",21
3613,Komisariat 3614,"plac Sadowa 33
16-905 Zagan",16
3614,Komisariat 3615,"al. Sucharskiego 453
81-028 ukow",26
3615,Komisariat 3616,"al. Skrajna 457
79-674 Lubartow",23
3616,Komisariat 3617,"ul. Matejki 32
14-669 Ruda Slaska",20
3617,Komisariat 3618,"al. Diamentowa 366
39-897 Elblag",32
3618,Komisariat 3619,"al. Piastowska 437
80-616 Pszczyna",24
3619,Komisariat 3620,"ul. Kossaka 00/59
37-799 Jaworzno",18
3620,Komisariat 3621,"plac Dabrowskiej 08/25
27-136 Kielce",17
3621,Komisariat 3622,"al. Zakatek 705
02-911 Szczytno",9
3622,Komisariat 3623,"aleja Zacisze 24
34-549 Pock",17
3623,Komisariat 3624,"ul. Jesienna 41
47-514 Bechatow",16
3624,Komisariat 3625,"al. Norwida 417
73-438 Zabrze",19
3625,Komisariat 3626,"ulica Tysiaclecia 10
08-224 Skawina",26
3626,Komisariat 3627,"plac Nadrzeczna 17/03
98-135 Tomaszow Mazowiecki",16
3627,Komisariat 3628,"ulica Piaskowa 92
53-212 Puawy",16
3628,Komisariat 3629,"ulica Sportowa 30/92
17-220 Jastrzebie-Zdroj",16
3629,Komisariat 3630,"al. Sowianska 452
97-783 Swiecie",18
3630,Komisariat 3631,"al. Warynskiego 19
10-996 Nowy Targ",24
3631,Komisariat 3632,"al. Listopada 626
82-391 Skierniewice",22
3632,Komisariat 3633,"pl. Bolesawa Krzywoustego 955
05-084 Tarnobrzeg",15
3633,Komisariat 3634,"al. Grottgera 01
62-349 Nowa Ruda",28
3634,Komisariat 3635,"aleja Harcerska 136
19-597 Legionowo",25
3635,Komisariat 3636,"ulica Konarskiego 59
47-943 Jelenia Gora",19
3636,Komisariat 3637,"ulica Ciasna 05
44-219 Zgorzelec",21
3637,Komisariat 3638,"al. Jaskocza 65
14-750 Piotrkow Trybunalski",27
3638,Komisariat 3639,"pl. Topolowa 68/63
84-946 Ketrzyn",23
3639,Komisariat 3640,"ulica Podlesna 20
45-680 Skierniewice",17
3640,Komisariat 3641,"ulica Mostowa 77/46
54-279 Krosno",24
3641,Komisariat 3642,"ulica Konopnickiej 07
80-371 Kalisz",22
3642,Komisariat 3643,"plac Tysiaclecia 286
58-058 Tarnobrzeg",23
3643,Komisariat 3644,"plac Wieniawskiego 78/40
50-217 Gorzow Wielkopolski",20
3644,Komisariat 3645,"aleja Pszenna 06
50-775 Starachowice",20
3645,Komisariat 3646,"plac Swierczewskiego 02
13-435 Biaystok",26
3646,Komisariat 3647,"ulica Zielna 342
66-563 Tarnow",15
3647,Komisariat 3648,"plac Wolnosci 07
77-138 Supsk",23
3648,Komisariat 3649,"aleja Wyspianskiego 45
54-249 Grodzisk Mazowiecki",21
3649,Komisariat 3650,"al. Okrezna 73/38
44-776 Kielce",14
3650,Komisariat 3651,"aleja Cicha 34/66
32-216 Czeladz",17
3651,Komisariat 3652,"pl. Willowa 81
08-483 Opole",21
3652,Komisariat 3653,"plac Lotnicza 46
53-839 Iawa",23
3653,Komisariat 3654,"plac Zwyciestwa 202
06-841 Rybnik",16
3654,Komisariat 3655,"aleja Nadrzeczna 94
54-213 Jastrzebie-Zdroj",17
3655,Komisariat 3656,"al. Wroblewskiego 60/73
09-148 Jarosaw",29
3656,Komisariat 3657,"al. Dworska 88/20
20-845 Ruda Slaska",16
3657,Komisariat 3658,"aleja Sybirakow 20/92
67-291 Lublin",23
3658,Komisariat 3659,"plac Letniskowa 40/21
95-466 Reda",14
3659,Komisariat 3660,"ul. Jaboniowa 727
07-144 Myszkow",21
3660,Komisariat 3661,"ulica Pszenna 36/14
15-096 Siemianowice Slaskie",22
3661,Komisariat 3662,"plac Srednia 71/67
96-904 Ciechanow",18
3662,Komisariat 3663,"pl. Krasinskiego 06/32
24-092 Zambrow",12
3663,Komisariat 3664,"ulica Akacjowa 697
38-623 Bechatow",16
3664,Komisariat 3665,"plac Topolowa 18/17
06-645 Augustow",19
3665,Komisariat 3666,"ul. Jaskocza 62/08
23-605 Minsk Mazowiecki",30
3666,Komisariat 3667,"ulica Makuszynskiego 15
26-165 Mysowice",26
3667,Komisariat 3668,"pl. Szpitalna 50/88
70-651 Bolesawiec",21
3668,Komisariat 3669,"pl. Brzozowa 71
18-408 Pszczyna",19
3669,Komisariat 3670,"ulica Klasztorna 13
28-889 Krosno",19
3670,Komisariat 3671,"ulica Kraszewskiego 945
70-676 Kielce",24
3671,Komisariat 3672,"aleja Srodkowa 161
85-008 Piaseczno",16
3672,Komisariat 3673,"aleja Mynarska 201
55-244 Czestochowa",24
3673,Komisariat 3674,"plac Zurawia 82
05-892 Grudziadz",21
3674,Komisariat 3675,"aleja Dabrowskiej 25
67-458 Chem",18
3675,Komisariat 3676,"ulica Graniczna 171
29-421 Rybnik",15
3676,Komisariat 3677,"al. Popieuszki 863
44-688 Pszczyna",20
3677,Komisariat 3678,"pl. Zwyciestwa 27/51
62-767 Woomin",22
3678,Komisariat 3679,"ulica Skadowa 00/98
33-148 Pruszkow",8
3679,Komisariat 3680,"pl. Krokusowa 25
73-831 Gdynia",24
3680,Komisariat 3681,"ulica Zamkowa 56/91
15-977 Bartoszyce",21
3681,Komisariat 3682,"plac Polna 449
74-488 Cieszyn",32
3682,Komisariat 3683,"ul. Brzozowa 39
41-111 Starachowice",31
3683,Komisariat 3684,"al. Koralowa 43
91-261 Poznan",21
3684,Komisariat 3685,"al. Tylna 710
62-051 Nowa Sol",18
3685,Komisariat 3686,"pl. Zakole 433
92-818 aziska Gorne",20
3686,Komisariat 3687,"al. Piwna 05
98-287 Pock",16
3687,Komisariat 3688,"aleja Partyzantow 77/10
98-317 Knurow",8
3688,Komisariat 3689,"plac Zbozowa 62/76
91-186 Gdynia",18
3689,Komisariat 3690,"ul. Wiazowa 81
32-598 Zawiercie",19
3690,Komisariat 3691,"ul. Turkusowa 32
64-418 Wrzesnia",16
3691,Komisariat 3692,"ulica Topolowa 75
08-600 Grodzisk Mazowiecki",30
3692,Komisariat 3693,"pl. Wypoczynkowa 468
56-681 Zawiercie",20
3693,Komisariat 3694,"plac Sciegiennego 77
83-032 Wrzesnia",16
3694,Komisariat 3695,"ul. Podlesna 707
68-193 Krasnik",18
3695,Komisariat 3696,"ulica Dobra 60
19-786 Krotoszyn",25
3696,Komisariat 3697,"ul. Grottgera 76/60
18-308 Koo",16
3697,Komisariat 3698,"aleja Sportowa 68/95
87-203 Bytom",29
3698,Komisariat 3699,"ul. Klonowa 52/71
05-300 Bielsko-Biaa",24
3699,Komisariat 3700,"aleja Okrzei 50/37
78-297 Tarnobrzeg",17
3700,Komisariat 3701,"plac Sowackiego 848
57-294 Bochnia",25
3701,Komisariat 3702,"ul. Kwiatowa 99
53-739 Raciborz",23
3702,Komisariat 3703,"al. Gowackiego 94/98
06-837 Ponsk",26
3703,Komisariat 3704,"pl. Swierkowa 859
67-760 Konin",21
3704,Komisariat 3705,"al. Ceglana 32
57-193 Jelenia Gora",21
3705,Komisariat 3706,"al. Sosnowa 602
78-196 Wrocaw",13
3706,Komisariat 3707,"al. Borowkowa 28
40-122 Lubliniec",17
3707,Komisariat 3708,"ul. Rybacka 03
04-232 Konin",19
3708,Komisariat 3709,"plac Zwyciestwa 56
98-105 Brzeg",16
3709,Komisariat 3710,"al. Jagiellonska 383
18-789 Jaso",25
3710,Komisariat 3711,"ul. Leszczynowa 50
26-913 Czerwionka-Leszczyny",18
3711,Komisariat 3712,"ul. Rozana 82/02
26-533 Zawiercie",20
3712,Komisariat 3713,"ulica Kowalska 76
57-924 Bartoszyce",30
3713,Komisariat 3714,"ul. Szkolna 52
19-524 Kielce",23
3714,Komisariat 3715,"al. Batycka 939
09-507 Marki",10
3715,Komisariat 3716,"al. Brzoskwiniowa 421
89-297 Torun",21
3716,Komisariat 3717,"ulica Batycka 42
20-901 Brodnica",25
3717,Komisariat 3718,"aleja Listopada 02/75
18-469 Turek",19
3718,Komisariat 3719,"pl. Zwirowa 49/43
11-485 Bochnia",18
3719,Komisariat 3720,"ul. Rejtana 841
21-201 Piotrkow Trybunalski",22
3720,Komisariat 3721,"ulica Zeromskiego 752
02-563 Sroda Wielkopolska",21
3721,Komisariat 3722,"aleja Zakole 15/76
12-832 Legionowo",11
3722,Komisariat 3723,"ulica Lwowska 97
78-951 Zyrardow",15
3723,Komisariat 3724,"plac Bukowa 072
13-453 Siemianowice Slaskie",23
3724,Komisariat 3725,"pl. Listopada 88/31
30-501 Konin",20
3725,Komisariat 3726,"ul. Stawowa 002
23-238 Nowa Ruda",17
3726,Komisariat 3727,"ul. Poznanska 07/85
54-159 Stargard Szczecinski",20
3727,Komisariat 3728,"ulica aczna 22/81
61-966 Mawa",24
3728,Komisariat 3729,"ulica Sucharskiego 48/13
94-740 Jelenia Gora",23
3729,Komisariat 3730,"ulica Kalinowa 59/95
14-057 Jastrzebie-Zdroj",23
3730,Komisariat 3731,"aleja Warszawska 34
95-251 Zywiec",24
3731,Komisariat 3732,"aleja Konarskiego 33
16-217 Bigoraj",21
3732,Komisariat 3733,"plac Bydgoska 914
97-946 Rybnik",24
3733,Komisariat 3734,"al. Narcyzowa 53/56
01-664 Siemianowice Slaskie",22
3734,Komisariat 3735,"aleja Mynska 73/02
26-229 Nowy Targ",17
3735,Komisariat 3736,"pl. Borowa 12/09
38-414 Otwock",18
3736,Komisariat 3737,"al. Maczka 322
84-808 Grudziadz",18
3737,Komisariat 3738,"al. Piastowska 87/56
67-204 Tarnow",12
3738,Komisariat 3739,"pl. Perowa 77/15
40-376 Zielona Gora",23
3739,Komisariat 3740,"al. Grzybowa 086
74-789 Zgorzelec",28
3740,Komisariat 3741,"aleja Owocowa 63/61
65-412 Mawa",22
3741,Komisariat 3742,"ulica Morcinka 792
27-985 Sroda Wielkopolska",33
3742,Komisariat 3743,"plac Wspolna 991
67-243 Warszawa",17
3743,Komisariat 3744,"ulica Krasinskiego 59/73
53-720 Olsztyn",21
3744,Komisariat 3745,"aleja Wojciecha 199
89-523 odz",21
3745,Komisariat 3746,"al. Bukowa 21/11
06-386 Koobrzeg",22
3746,Komisariat 3747,"al. Sienkiewicza 92
68-407 Czerwionka-Leszczyny",19
3747,Komisariat 3748,"al. Turystyczna 045
40-946 Ostroda",15
3748,Komisariat 3749,"pl. Staffa 78
80-631 Gliwice",19
3749,Komisariat 3750,"ul. Srebrna 40
35-295 Starachowice",19
3750,Komisariat 3751,"plac Kusocinskiego 366
59-306 aziska Gorne",20
3751,Komisariat 3752,"ulica Jarzebinowa 56/69
49-556 Zabrze",22
3752,Komisariat 3753,"plac Ciasna 12
75-759 Ostroeka",26
3753,Komisariat 3754,"pl. Sybirakow 89/44
96-402 Opole",18
3754,Komisariat 3755,"al. Jaowcowa 67/49
57-743 Siedlce",13
3755,Komisariat 3756,"ul. Makuszynskiego 443
91-385 Nowy Dwor Mazowiecki",20
3756,Komisariat 3757,"al. Koataja 29
33-249 Pruszkow",26
